 VARIABLES = X,Y,U,V,sy,w,p
 ZONE     i=         101          j=         101                       F=POINT
  0.629999995       9.99999978E-03  -5.26334951E-03  -1.01590012E-04  -2.68842250E-05  0.514358580       6.89879339E-03
  0.639999986       9.99999978E-03  -5.06243203E-03  -1.07729742E-04  -2.58363398E-05  0.495183408       7.12515227E-03
  0.649999976       9.99999978E-03  -4.85034613E-03  -1.13329137E-04  -2.47296302E-05  0.474956304       7.33421976E-03
  0.659999967       9.99999978E-03  -4.62816749E-03  -1.18337543E-04  -2.35697571E-05  0.453778893       7.52479583E-03
  0.669999957       9.99999978E-03  -4.39706445E-03  -1.22706930E-04  -2.23628795E-05  0.431761175       7.69579317E-03
  0.680000007       9.99999978E-03  -4.15829010E-03  -1.26393294E-04  -2.11156184E-05  0.409020931       7.84625392E-03
  0.689999998       9.99999978E-03  -3.91317299E-03  -1.29356980E-04  -1.98350135E-05  0.385682911       7.97536876E-03
  0.699999988       9.99999978E-03  -3.66311357E-03  -1.31563051E-04  -1.85284789E-05  0.361878246       8.08246993E-03
  0.709999979       9.99999978E-03  -3.40957032E-03  -1.32981950E-04  -1.72037526E-05  0.337743282       8.16706754E-03
  0.719999969       9.99999978E-03  -3.15404986E-03  -1.33590132E-04  -1.58688399E-05  0.313418776       8.22884962E-03
  0.729999959       9.99999978E-03  -2.89809774E-03  -1.33370399E-04  -1.45319500E-05  0.289048821       8.26768577E-03
  0.740000010       9.99999978E-03  -2.64328346E-03  -1.32312154E-04  -1.32014320E-05  0.264779776       8.28364678E-03
  0.750000000       9.99999978E-03  -2.39118934E-03  -1.30411499E-04  -1.18857070E-05  0.240758955       8.27700086E-03
  0.759999990       9.99999978E-03  -2.14339723E-03  -1.27671738E-04  -1.05932022E-05  0.217133492       8.24822020E-03
  0.769999981       9.99999978E-03  -1.90147478E-03  -1.24103608E-04  -9.33227238E-06  0.194049075       8.19798559E-03
  0.779999971       9.99999978E-03  -1.66696182E-03  -1.19724951E-04  -8.11113023E-06  0.171648622       8.12718272E-03
  0.789999962       9.99999978E-03  -1.44135556E-03  -1.14561095E-04  -6.93777338E-06  0.150070965       8.03690590E-03
  0.799999952       9.99999978E-03  -1.22609735E-03  -1.08644985E-04  -5.81990844E-06  0.129449531       7.92845152E-03
  0.810000002       9.99999978E-03  -1.02255819E-03  -1.02016769E-04  -4.76487367E-06  0.109910943       7.80331716E-03
  0.819999993       9.99999978E-03  -8.32024030E-04  -9.47238877E-05  -3.77957303E-06   9.15736109E-02   7.66319502E-03
  0.829999983       9.99999978E-03  -6.55681710E-04  -8.68214775E-05  -2.87039597E-06   7.45463669E-02   7.50996592E-03
